201.1.4.2,202.2.4.2,49154,20004,600000.0,15513000.0,14913000.0,True
201.1.6.2,202.2.6.2,49154,20006,1000000.0,1627000.0,627000.0,True
201.1.12.2,202.2.12.2,49154,20012,2200000.0,40074000.0,37874000.0,True
201.1.14.2,202.2.14.2,49154,20014,2600000.0,2600000.0,-1.0,False
201.1.6.2,202.2.6.2,49155,20022,4200000.0,4200000.0,-1.0,False
201.1.12.2,202.2.12.2,49155,20028,5400000.0,7270000.0,1870000.0,True
201.1.14.2,202.2.14.2,49155,20030,5800000.0,80991000.0,75191000.0,True
201.1.6.2,202.2.6.2,49156,20038,7400000.0,10291000.0,2891000.0,True
201.1.12.2,202.2.12.2,49156,20044,8600000.0,10523000.0,1923000.0,True
201.1.14.2,202.2.14.2,49156,20046,9000000.0,11508000.0,2508000.0,True
201.1.6.2,202.2.6.2,49157,20054,10600000.0,111567000.0,100967000.0,True
201.1.12.2,202.2.12.2,49157,20060,11800000.0,15137000.0,3337000.0,True
201.1.14.2,202.2.14.2,49157,20062,12200000.0,38883000.0,26683000.0,True
201.1.6.2,202.2.6.2,49158,20070,13800000.0,41004000.0,27204000.0,True
201.1.12.2,202.2.12.2,49158,20076,15000000.0,29685000.0,14685000.0,True
201.1.14.2,202.2.14.2,49158,20078,15400000.0,29543000.0,14143000.0,True
201.1.6.2,202.2.6.2,49159,20086,17000000.0,31315000.000000004,14315000.000000004,True
201.1.12.2,202.2.12.2,49159,20092,18200000.0,31708000.0,13508000.0,True
201.1.14.2,202.2.14.2,49159,20094,18600000.0,20066000.0,1466000.0,True
201.1.6.2,202.2.6.2,49160,20102,20200000.0,21598000.0,1398000.0,True
201.1.12.2,202.2.12.2,49160,20108,21400000.0,22556000.0,1156000.0,True
201.1.14.2,202.2.14.2,49160,20110,21800000.0,37062000.0,15262000.0,True
201.1.6.2,202.2.6.2,49161,20118,23400000.0,36875000.0,13475000.0,True
201.1.12.2,202.2.12.2,49161,20124,24600000.0,38975000.0,14375000.0,True
201.1.14.2,202.2.14.2,49161,20126,25000000.0,64579000.0,39579000.0,True
201.1.6.2,202.2.6.2,49162,20134,26600000.0,27159000.0,559000.0,True
201.1.12.2,202.2.12.2,49162,20140,27800000.0,31443000.0,3643000.0,True
201.1.14.2,202.2.14.2,49162,20142,28200000.0,29671000.0,1471000.0,True
201.1.6.2,202.2.6.2,49163,20150,29800000.0,56440000.0,26640000.0,True
201.1.12.2,202.2.12.2,49163,20156,31000000.0,32244000.0,1244000.0,True
201.1.14.2,202.2.14.2,49163,20158,31399999.999999996,33678000.0,2278000.0000000037,True
201.1.6.2,202.2.6.2,49164,20166,33000000.0,46991000.0,13991000.0,True
201.1.12.2,202.2.12.2,49164,20172,34200000.0,48648000.0,14448000.0,True
201.1.14.2,202.2.14.2,49164,20174,34600000.0,38081000.0,3481000.0,True
201.1.6.2,202.2.6.2,49165,20182,36200000.0,37631000.0,1431000.0,True
201.1.12.2,202.2.12.2,49165,20188,37400000.0,38869000.0,1469000.0,True
201.1.14.2,202.2.14.2,49165,20190,37800000.0,113123000.0,75323000.0,True
201.1.6.2,202.2.6.2,49166,20198,39400000.0,39400000.0,-1.0,False
201.1.12.2,202.2.12.2,49166,20204,40600000.0,41701000.0,1101000.0,True
201.1.14.2,202.2.14.2,49166,20206,41000000.0,55645000.0,14645000.0,True
201.1.6.2,202.2.6.2,49167,20214,42600000.0,57701000.0,15101000.0,True
201.1.12.2,202.2.12.2,49167,20220,43800000.0,57845000.0,14045000.0,True
201.1.14.2,202.2.14.2,49167,20222,44200000.0,58719000.0,14519000.0,True
201.1.6.2,202.2.6.2,49168,20230,45800000.0,47516000.0,1716000.0,True
201.1.12.2,202.2.12.2,49168,20236,47000000.0,48329000.0,1329000.0,True
201.1.14.2,202.2.14.2,49168,20238,47400000.0,99176000.0,51776000.0,True
201.1.6.2,202.2.6.2,49169,20246,49000000.0,51022000.0,2022000.0,True
201.1.12.2,202.2.12.2,49169,20252,50200000.0,50200000.0,-1.0,False
201.1.14.2,202.2.14.2,49169,20254,50600000.0,77229000.0,26629000.0,True
201.1.6.2,202.2.6.2,49170,20262,52200000.0,65157999.99999999,12957999.999999993,True
201.1.12.2,202.2.12.2,49170,20268,53400000.0,67392000.0,13992000.0,True
201.1.14.2,202.2.14.2,49170,20270,53800000.0,56741000.0,2941000.0,True
201.1.6.2,202.2.6.2,49171,20278,55400000.0,56544000.0,1144000.0,True
201.1.12.2,202.2.12.2,49171,20284,56600000.0,71281000.0,14681000.0,True
201.1.14.2,202.2.14.2,49171,20286,57000000.0,71497000.0,14497000.0,True
201.1.6.2,202.2.6.2,49172,20294,58600000.0,61213000.0,2613000.0,True
201.1.12.2,202.2.12.2,49172,20300,59800000.0,98082000.0,38282000.0,True
201.1.14.2,202.2.14.2,49172,20302,60200000.0,62484000.0,2284000.0,True
201.1.6.2,202.2.6.2,49173,20310,61800000.0,64023000.0,2223000.0,True
201.1.12.2,202.2.12.2,49173,20316,63000000.0,152397000.0,89397000.0,True
201.1.14.2,202.2.14.2,49173,20318,63400000.0,63400000.0,-1.0,False
201.1.6.2,202.2.6.2,49174,20326,65000000.0,66221000.0,1221000.0,True
201.1.12.2,202.2.12.2,49174,20332,66199999.99999999,81997000.0,15797000.000000007,True
