[0/2] Re-checking globbed directories...
ninja: no work to do.
+1.07546e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07561e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07576e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07591e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07606e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07621e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07636e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07651e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07666e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07681e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07696e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07711e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07726e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07741e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07756e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07771e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07786e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07801e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07816e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07831e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07846e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07861e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07876e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07891e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07906e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07921e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07936e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07951e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07966e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07981e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.07996e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08011e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08026e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08041e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08056e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08071e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08086e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08101e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08116e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08131e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08146e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08161e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08176e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08191e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08206e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08221e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08236e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
+1.08251e+06ns In SlowStart, updated to cwnd 2892 ssthresh 5784
